M,p,eta,sig_nois,G,G1
400,0.1,0.8,2,1,1
400,0.05,0.8,2,1,1
400,0.1,0.8,2,5,1
400,0.05,0.8,2,5,1
400,0.1,0.8,2,10,1
400,0.05,0.8,2,10,1
400,0.1,0.8,2,5,5
400,0.05,0.8,2,5,5
400,0.1,0.8,2,10,10
400,0.05,0.8,2,10,10
2500,0.01,0.8,2,1,1
2500,0.05,0.8,2,1,1
2500,0.01,0.8,2,5,1
2500,0.05,0.8,2,5,1
2500,0.01,0.8,2,10,1
2500,0.05,0.8,2,10,1
2500,0.01,0.8,2,5,5
2500,0.05,0.8,2,5,5
2500,0.01,0.8,2,10,10
2500,0.05,0.8,2,10,10
10000,0.01,0.8,2,1,1
10000,0.05,0.8,2,1,1
10000,0.01,0.8,2,5,1
10000,0.05,0.8,2,5,1
10000,0.01,0.8,2,10,1
10000,0.05,0.8,2,10,1
10000,0.01,0.8,2,5,5
10000,0.05,0.8,2,5,5
10000,0.01,0.8,2,10,10
10000,0.05,0.8,2,10,10